,name,locality,total_reviews,overall_service_score,overall_facility_score,overall_cost_score
280,Usains HUSM Executive Health Services Polyclinic & Ward,Kota Bharu,5,2.880797077977882,2.5,2.5
281,"Kompleks Rawatan Harian, HRPZ II",Kota Bharu,2,3.74995824644538,3.6314353170560834,2.5
282,"School of Medical Sciences, USM",Kota Bharu,2,3.077646446575012,2.5,2.5
283,Klinik Dr Nik,Tanah Merah,3,3.519759427679812,2.8850976310500083,2.8850976310500083
284,Tanah Merah Hospital,Tanah Merah,5,3.1118556566078874,3.4051482536448665,2.5
285,Hospital Kuala Krai,Kuala Krai,5,2.3872332921977124,2.768941421369983,2.268941421369995
286,Machang Hospital,Machang,5,1.6666287951996843,2.0378828427399904,2.0378828427399904
287,Family Care Clinic Labuan,Victoria,5,3.040078607763337,3.193175735890015,2.5
288,Klinik Perubatan Ong Sdn. Bhd.,Victoria,4,2.788823223287506,2.5,2.5
289,Klinik Wong & Ung,Victoria,3,3.134661796629804,2.5,2.5
290,Klinik Leong,Victoria,1,4.403985389889412,2.5,2.5
291,Klinik Pergigian Bakti(Klinik Surgeri & Pergigian Bakti Sdn Bhd),Victoria,5,3.403247129281843,2.5,2.0378828427399904
292,Klinik Kesihatan Labuan,Victoria,5,2.5,2.731058578630005,3.1118556566078874
293,State Health Department Federal Territory of Labuan,Victoria,1,4.403985389889412,3.6552928931500244,2.5
294,Pusat Komuniti Kesihatan Mental Putrajaya (MENTARI),Putrajaya,4,3.1219092210542065,2.788823223287506,2.5
295,Specialist Outpatient Medical Clinic,Putrajaya,4,3.743818442108413,3.1245808123369168,2.788823223287506
296,Putrajaya Hospital,Putrajaya,5,3.7752542109543805,2.6149780302357377,1.8163672945475617
297,Precint 11 Putrajaya Health Clinic,Putrajaya,5,3.1118556566078874,2.9621171572600096,2.268941421369995
298,Cawangan Kawalan Amalan Perubatan Swasta,Putrajaya,5,2.8499261505216564,2.6497384993478774,2.9820137900379082
299,CPC International,Bandar Baru Bangi,1,2.5,2.5,2.5
300,Klinik Zubir Sdn. Bhd.,Bandar Baru Bangi,5,3.414691284082443,2.9621171572600096,2.5
301,Poliklinik An-Nisa' Cyberjaya,Cyberjaya,5,2.3502615006521226,2.5,2.6497384993478774
302,Qualitas SV Care Clinic Cyberjaya 24 hours,Cyberjaya,5,2.4186799207178726,2.618291870827717,2.3502615006521226
303,BravuraMind,Subang Jaya,5,4.32998753044928,2.731058578630005,3.261594155955765
304,Klinik Alam Medic,Subang Jaya,5,4.165792884791661,3.261594155955765,2.268941421369995
305,Subang Jaya Medical Centre (SJMC),Subang Jaya,5,3.093914844514498,2.731058578630005,2.5
306,WQ Park Bangi | Health & Rehabilitation Centre,Bangi,3,4.073551578829863,3.6884539477798555,2.5
307,Jabatan Psikiatri,Serdang,2,3.7496915135600344,2.5,2.5
308,Hospital Pengajar Universiti Putra Malaysia(HPUPM),Serdang,5,3.2307232284995386,3.5832303895627726,2.119202922022118
309,Poliklinik UKM Kesihatan,Kajang,5,3.4653735664397467,2.9621171572600096,2.5
310,"Klinik Mediviron Kota Warisan, Sepang",Sepang,5,1.9710685172478126,2.268941421369995,1.538793893934391
311,Sultan Haji Ahmad Shah Hospital,Temerloh,5,3.573972813867897,3.860338244859156,2.5
312,MY HEALTH CLINIC PEKAN (24JAM),Pekan,5,2.9975273768433652,2.9525741268224333,2.5
313,Mentari Mentakab,Mentakab,2,2.5,2.5,2.5
314,Kuala Lipis Hospital,Kuala Lipis,5,3.355872651330769,3.434587916860342,2.5
315,Dr Wee Penang Psychiatry / Psychological Medicine Clinic,George Town,10,4.495008970927902,2.5,1.7203083665463468
316,ONG SPECIALIST CENTRE PENANG,George Town,10,3.1472658761912427,2.7310585786300043,2.2689414213699948
317,Jabatan Psikiatri @ Pulau Pinang,George Town,4,2.5,2.5,2.5
318,Dr. R. June George,Sungai Petani,2,4.2090817636310955,3.6552928931500244,2.5
319,Clinic Dr. Rosly,Sungai Petani,3,3.63938784242073,2.5,2.8850976310500083
320,Metro Specialisit Hospital,Sungai Petani,5,2.530214401301844,2.900694247367821,2.0378828427399904
321,Lifecare Physiotherapy Center,Sungai Petani,1,2.5,2.5,2.5
322,Pantai Hospital Sungai Petani,Sungai Petani,3,3.519759427679812,3.2542902113707224,2.5
323,Pantai Hospital Laguna Merbok,Sungai Petani,5,3.4929717989452485,4.129156271653166,2.268941421369995
324,Klinik Vigneshwer (KIDA),Kulim,5,3.452573820920206,3.230147527435604,2.5
325,Klinik Kulim,Kulim,5,4.285821937046763,2.9820137900379082,2.5
326,KLINIK PAKAR DR. WEE (Psychiatry/Psychological Medicine),Butterworth,1,2.5,2.5,2.5
327,RHC Training Centre,Bukit Mertajam,1,3.6552928931500244,2.5,2.5
